AMP_NM;BNF_CODE;PRESENTATION;STRENGTH
;;;
;;;
;;;1g
;;;2 x 62g sachets
;;ANKLET;
;;ANKLET;STOCK SIZ
;;BANDAGE;
;;BANDAGE;10CMX4.5M
;;BANDAGE;10CMX5M
;;BANDAGE;15CMX4.5M
;;BANDAGE;2.5CMX5M
;;BANDAGE;5CMX4.5M
;;BANDAGE;5CMX5M
;;BANDAGE;7.5CMX4.5
;;BANDAGE;7.5CMX5M
;;BANDAGE;EX.LARGE
;;BANDAGE;LARGE
;;BANDAGE;MEDIUM
;;BANDAGE;SMALL
;;CARTON;25G
;;CATHETER;
;;CHEWING GUM;2MG
;;CHIROPODY;WALLET 9
;;COTTON WOOL;100G
;;COTTON WOOL;25G
;;COTTON WOOL;500G
;;CREAM;
;;CRYSTALS;
;;CYLINDER;2122L
;;CYLINDER;419L
;;Capsule;
;;Capsule;1000unit
;;Capsule;10mg
;;Capsule;10mg /  100mg
;;Capsule;25000unit
;;Capsule;2mg
;;Capsule;30mg
;;Capsule;400mg
;;Capsule;400unit
;;Capsule;40mg
;;Capsule;50000unit
;;Capsule;5600unit
;;Capsule;5mg /  100mg
;;Catheter valves;CV3808
;;Chewable tablet;25mg
;;Colostomy bags;9010-10,Cut to fit 10mm-55mm/70mm,Opaque,midi
;;Colostomy bags;9050-10,Cut to fit 10mm-70mm/90mm,Opaque,maxi
;;Colostomy bags;9310-37,Cut to fit 10mm-37mm,Opaque,midi
;;Colostomy bags;9310-46,Cut to fit 10mm-46mm,Opaque,midi
;;Colostomy bags;9310-59,Cut to fit 10mm-59mm,Opaque,maxi
;;Colostomy bags;971-54,Cut to fit 15mm-54mm,Opaque,maxi
;;Cream;3%
;;Cream;3.00%
;;Cream;5%
;;Cream;5.00%
;;Cutaneous emulsion;
;;DRESSING;
;;DRESSING;NO.1
;;DRESSING;SPEC 35
;;DROPPER;
;;Dispersible tablet;50mg
;;ELASTIC HOISERY;
;;ELASTIC HOSIERY;
;;EYE BATH;PLASTIC
;;EYE SHADES;
;;Effervescent tablet;
;;Effervescent tablet;1.25g
;;Effervescent tablet;125mg
;;Effervescent tablet;150mg
;;Effervescent tablet;2.263g /  1.75g
;;Effervescent tablet;250mg
;;Effervescent tablet;300mg
;;Effervescent tablet;400unit /  1.5g
;;Eye drops;0
;;Eye drops;1%
;;Eye drops;1.00%
;;Eye drops;15microgram/
;;Eye drops;1m/
;;Eye drops;2%
;;Eye drops;2% /  0.5%
;;Eye drops;2.00%
;;Eye drops;50microgram/
;;Eye drops;5mg/ml
;;Eye drops;900microgram/ml
;;FELT;10.5X8.3
;;FELT;10X22.5X5
;;FINGER COTS;PACK OF10
;;FOAM;22.5X45CM
;;Foam;50microgram/g /  500microgram/g
;;GAMGEE;500G
;;GAUZE;1.25CMX5M
;;GAUZE;2.5CMX5M
;;GAUZE;25M
;;GAUZE;90CM X 1M
;;GAUZE;90CM X 3M
;;GAUZE;90CM X 5M
;;GAUZE;90CM X10M
;;GLOVES;PACK OF25
;;GUM;2MG
;;Gel;
;;Gel;2%
;;Gel;2.00%
;;Gel;26%
;;Gel;26.00%
;;Gel;50mg/5g
;;Granules;100mg
;;Granules;3g
