AMP_NM;BNF_CODE;PRESENTATION;STRENGTH;DATE_FROM;DATE_TO;VERSION
;;;0.50%;2018-11-09;2018-11-09;1
;;;1000unit;2018-11-09;2018-11-09;1
;;;100mg;2018-11-09;2018-11-09;1
;;;100microgram;2018-11-09;2018-11-09;1
;;;10mg;2018-11-09;2018-11-09;1
;;;10mg/0.2ml;2018-11-09;2018-11-09;1
;;;10microgram/hour;2018-11-09;2018-11-09;1
;;;145mg /  40mg;2018-11-09;2018-11-09;1
;;;150mg;2018-11-09;2018-11-09;1
;;;15mg;2018-11-09;2018-11-09;1
;;;15mg/0.3ml;2018-11-09;2018-11-09;1
;;;17.5mg/0.35ml;2018-11-09;2018-11-09;1
;;;19.5mg;2018-11-09;2018-11-09;1
;;;1g;2018-11-09;2018-11-09;1
;;;1mg;2018-11-09;2018-11-09;1
;;;2 x 62g sachets;2018-11-09;2018-11-09;1
;;;2%;2018-11-09;2018-11-09;1
;;;2.5mg;2018-11-09;2018-11-09;1
;;;2000unit;2018-11-09;2018-11-09;1
;;;200mg;2018-11-09;2018-11-09;1
;;;20mg;2018-11-09;2018-11-09;1
;;;20mg/0.4ml;2018-11-09;2018-11-09;1
;;;20mg/1ml;2018-11-09;2018-11-09;1
;;;20mg/5ml;2018-11-09;2018-11-09;1
;;;20microgram/hour;2018-11-09;2018-11-09;1
;;;2200unit;2018-11-09;2018-11-09;1
;;;2MG/ML;2018-11-09;2018-11-09;1
;;;2g/10ml;2018-11-09;2018-11-09;1
;;;2million unit;2018-11-09;2018-11-09;1
;;;300microgram/ml;2018-11-09;2018-11-09;1
;;;30mg;2018-11-09;2018-11-09;1
;;;360mg;2018-11-09;2018-11-09;1
;;;4%;2018-11-09;2018-11-09;1
;;;40%;2018-11-09;2018-11-09;1
;;;5%;2018-11-09;2018-11-09;1
;;;50000unit;2018-11-09;2018-11-09;1
;;;500mg;2018-11-09;2018-11-09;1
;;;50mg;2018-11-09;2018-11-09;1
;;;50mg/10ml;2018-11-09;2018-11-09;1
;;;50mg/50ml;2018-11-09;2018-11-09;1
;;;50microgram/dose;2018-11-09;2018-11-09;1
;;;5600unit;2018-11-09;2018-11-09;1
;;;5mg/5ml;2018-11-09;2018-11-09;1
;;;5mg/ml;2018-11-09;2018-11-09;1
;;;5microgram/hour;2018-11-09;2018-11-09;1
;;;600mg;2018-11-09;2018-11-09;1
;;;60mg;2018-11-09;2018-11-09;1
;;;63%;2018-11-09;2018-11-09;1
;;;63.40%;2018-11-09;2018-11-09;1
;;;7.5mg;2018-11-09;2018-11-09;1
;;;7.5mg/0.15ml;2018-11-09;2018-11-09;1
;;;7.5mg/0.3ml;2018-11-09;2018-11-09;1
;;;75mg;2018-11-09;2018-11-09;1
;;;75mg /  18.75mg /  200mg;2018-11-09;2018-11-09;1
;;;8.4g;2018-11-09;2018-11-09;1
;;;800unit;2018-11-09;2018-11-09;1
;;;82.95% /  15%;2018-11-09;2018-11-09;1
;;;90mg;2018-11-09;2018-11-09;1
;;AMPOULE;5MG/1ML;2018-11-09;2018-11-09;1
;;AMPOULES;250MCG/ML;2018-11-09;2018-11-09;1
;;ANKLET;;2018-11-09;2018-11-09;1
;;ANKLET;STOCK SIZ;2018-11-09;2018-11-09;1
;;B/K X/M C/TOE;XS-L;2018-11-09;2018-11-09;1
;;BANDAGE;;2018-11-09;2018-11-09;1
;;BANDAGE;10CMX4.5M;2018-11-09;2018-11-09;1
;;BANDAGE;10CMX5M;2018-11-09;2018-11-09;1
;;BANDAGE;15CMX4.5M;2018-11-09;2018-11-09;1
;;BANDAGE;2.5CMX5M;2018-11-09;2018-11-09;1
;;BANDAGE;5CMX4.5M;2018-11-09;2018-11-09;1
;;BANDAGE;5CMX5M;2018-11-09;2018-11-09;1
;;BANDAGE;7.5CMX4.5;2018-11-09;2018-11-09;1
;;BANDAGE;7.5CMX5M;2018-11-09;2018-11-09;1
;;BANDAGE;EX.LARGE;2018-11-09;2018-11-09;1
;;BANDAGE;LARGE;2018-11-09;2018-11-09;1
;;BANDAGE;MEDIUM;2018-11-09;2018-11-09;1
;;BANDAGE;SMALL;2018-11-09;2018-11-09;1
;;CAPSULE;4MG;2018-11-09;2018-11-09;1
;;CAPSULES;2MG;2018-11-09;2018-11-09;1
;;CARTON;25G;2018-11-09;2018-11-09;1
