CHAPTER|SECTION|PARAGRAPH
1|1|1
1|1|2
1|2|0
1|3|0
1|3|1
1|3|3
1|3|4
1|3|5
1|4|1
1|4|2
1|4|3
1|5|0
1|5|1
1|5|2
1|5|4
1|6|1
1|6|2
1|6|3
1|6|4
1|6|5
1|6|6
1|6|7
1|7|1
1|7|2
1|7|4
1|8|1
1|9|1
1|9|4
2|1|1
2|2|1
2|2|2
2|2|3
2|2|4
2|2|8
2|3|2
2|4|0
2|5|1
2|5|2
2|5|4
2|5|5
2|6|1
2|6|2
2|6|3
2|6|4
2|7|2
2|7|3
2|8|1
2|8|2
2|9|0
2|11|0
2|12|0
3|1|1
3|1|2
3|1|3
3|1|4
3|1|5
3|2|0
3|3|1
3|3|2
3|3|3
3|4|1
3|4|2
3|4|3
3|6|0
3|7|0
3|8|0
3|9|1
3|9|2
3|10|0
4|1|1
4|1|2
4|1|3
4|2|1
4|2|2
4|2|3
4|3|1
4|3|2
4|3|3
4|3|4
4|4|0
4|5|1
4|6|0
4|7|1
4|7|2
4|7|3
4|7|4
4|8|1
4|8|2
4|9|1
4|9|2
4|9|3
4|10|0
4|10|1
4|10|2
4|10|3
4|11|0
5|1|1
5|1|2
5|1|3
5|1|4
5|1|5
5|1|6
5|1|7
5|1|8
5|1|9
5|1|10
5|1|11
5|1|12
5|1|13
5|2|1
5|2|2
5|2|3
5|2|5
5|3|0
5|3|1
5|3|2
5|3|3
5|3|4
5|4|1
5|5|1
6|1|1
6|1|2
6|1|4
6|1|6
6|2|1
6|2|2
6|3|1
6|3|2
6|4|1
6|4|2
6|4|3
6|5|1
6|5|2
6|6|1
6|6|2
6|7|1
6|7|2
7|1|1
7|2|1
7|2|2
7|3|1
7|3|2
7|3|3
7|3|4
7|3|5
7|4|1
7|4|2
7|4|3
7|4|4
7|4|5
7|4|6
8|1|0
8|1|1
8|1|3
8|1|5
8|2|1
8|2|2
8|2|4
8|3|1
8|3|2
8|3|4
9|1|1
9|1|2
9|1|3
9|1|6
9|2|1
9|2|2
9|4|0
9|4|1
9|4|2
9|5|1
9|5|2
9|5|3
9|5|4
9|6|1
9|6|2
9|6|3
9|6|4
9|6|5
9|6|6
9|6|7
9|8|1
9|9|0
9|10|0
9|11|2
9|11|4
9|12|0
10|1|0
10|1|1
10|1|2
10|1|3
10|1|4
10|1|5
10|2|1
10|2|2
10|3|1
10|3|2
11|3|1
11|3|3
11|4|1
11|4|2
11|5|0
11|6|0
11|7|0
11|8|1
11|8|2
11|8|3
11|9|0
12|1|1
12|1|2
12|1|3
12|2|0
12|2|1
12|2|2
12|2|3
12|3|0
12|3|1
12|3|2
12|3|3
12|3|4
12|3|5
13|1|0
13|1|1
13|2|0
13|2|1
13|2|2
13|2|3
13|3|0
13|4|0
13|5|0
13|5|1
13|5|2
13|5|3
13|6|0
13|6|1
13|6|2
13|6|3
13|7|0
13|8|1
13|8|2
13|9|0
13|10|1
13|10|2
13|10|3
13|10|4
13|10|5
13|11|1
13|11|2
13|11|3
13|11|4
13|11|5
13|11|6
13|11|7
13|12|0
13|13|1
13|14|0
13|15|0
14|4|0
15|1|1
15|1|3
15|1|4
15|1|7
15|2|0
15|2|1
19|4|0
19|5|0
19|14|1
20|1|0
20|2|0
20|2|1
20|2|2
20|3|0
20|4|2
20|4|3
20|5|0
20|7|0
20|8|0
20|9|0
20|10|0
20|11|0
20|12|0
21|1|0
21|1|5
21|1|6
21|1|7
21|1|8
21|1|9
21|1|12
21|1|13
21|1|15
21|2|0
21|3|0
21|4|0
21|6|0
21|6|1
21|6|2
21|7|0
21|7|3
21|7|4
21|7|5
21|7|6
21|8|0
22|2|0
22|30|0
22|35|0
22|50|0
22|60|0
22|70|0
22|80|0
22|90|0
23|0|0
23|5|0
23|10|0
23|15|0
23|20|0
23|25|0
23|30|0
23|35|0
23|45|0
23|50|0
23|55|0
23|60|0
23|70|0
23|80|0
23|85|0
23|90|0
23|94|0
23|96|0
99|0|0
99|1|0
99|99|99
