CHAPTER|SECTION|PARAGRAPH|DATE_FROM|DATE_TO|VERSION
1|1|1|2018-11-07|2018-11-07|1
1|1|2|2018-11-07|2018-11-07|1
1|2|0|2018-11-07|2018-11-07|1
1|3|0|2018-11-07|2018-11-07|1
1|3|1|2018-11-07|2018-11-07|1
1|3|3|2018-11-07|2018-11-07|1
1|3|4|2018-11-07|2018-11-07|1
1|3|5|2018-11-07|2018-11-07|1
1|4|1|2018-11-07|2018-11-07|1
1|4|2|2018-11-07|2018-11-07|1
1|4|3|2018-11-07|2018-11-07|1
1|5|0|2018-11-07|2018-11-07|1
1|5|1|2018-11-07|2018-11-07|1
1|5|2|2018-11-07|2018-11-07|1
1|5|4|2018-11-07|2018-11-07|1
1|6|1|2018-11-07|2018-11-07|1
1|6|2|2018-11-07|2018-11-07|1
1|6|3|2018-11-07|2018-11-07|1
1|6|4|2018-11-07|2018-11-07|1
1|6|5|2018-11-07|2018-11-07|1
1|6|6|2018-11-07|2018-11-07|1
1|6|7|2018-11-07|2018-11-07|1
1|7|1|2018-11-07|2018-11-07|1
1|7|2|2018-11-07|2018-11-07|1
1|7|4|2018-11-07|2018-11-07|1
1|8|1|2018-11-07|2018-11-07|1
1|9|1|2018-11-07|2018-11-07|1
1|9|4|2018-11-07|2018-11-07|1
2|1|1|2018-11-07|2018-11-07|1
2|1|2|2018-11-07|2018-11-07|1
2|2|1|2018-11-07|2018-11-07|1
2|2|2|2018-11-07|2018-11-07|1
2|2|3|2018-11-07|2018-11-07|1
2|2|4|2018-11-07|2018-11-07|1
2|2|8|2018-11-07|2018-11-07|1
2|3|2|2018-11-07|2018-11-07|1
2|4|0|2018-11-07|2018-11-07|1
2|5|1|2018-11-07|2018-11-07|1
2|5|2|2018-11-07|2018-11-07|1
2|5|4|2018-11-07|2018-11-07|1
2|5|5|2018-11-07|2018-11-07|1
2|6|1|2018-11-07|2018-11-07|1
2|6|2|2018-11-07|2018-11-07|1
2|6|3|2018-11-07|2018-11-07|1
2|6|4|2018-11-07|2018-11-07|1
2|7|2|2018-11-07|2018-11-07|1
2|7|3|2018-11-07|2018-11-07|1
2|8|1|2018-11-07|2018-11-07|1
2|8|2|2018-11-07|2018-11-07|1
2|9|0|2018-11-07|2018-11-07|1
2|11|0|2018-11-07|2018-11-07|1
2|12|0|2018-11-07|2018-11-07|1
3|1|1|2018-11-07|2018-11-07|1
3|1|2|2018-11-07|2018-11-07|1
3|1|3|2018-11-07|2018-11-07|1
3|1|4|2018-11-07|2018-11-07|1
3|1|5|2018-11-07|2018-11-07|1
3|2|0|2018-11-07|2018-11-07|1
3|3|1|2018-11-07|2018-11-07|1
3|3|2|2018-11-07|2018-11-07|1
3|3|3|2018-11-07|2018-11-07|1
3|4|1|2018-11-07|2018-11-07|1
3|4|2|2018-11-07|2018-11-07|1
3|4|3|2018-11-07|2018-11-07|1
3|6|0|2018-11-07|2018-11-07|1
3|7|0|2018-11-07|2018-11-07|1
3|8|0|2018-11-07|2018-11-07|1
3|9|1|2018-11-07|2018-11-07|1
3|9|2|2018-11-07|2018-11-07|1
3|10|0|2018-11-07|2018-11-07|1
3|11|1|2018-11-07|2018-11-07|1
4|1|1|2018-11-07|2018-11-07|1
4|1|2|2018-11-07|2018-11-07|1
4|1|3|2018-11-07|2018-11-07|1
4|2|1|2018-11-07|2018-11-07|1
4|2|2|2018-11-07|2018-11-07|1
4|2|3|2018-11-07|2018-11-07|1
4|3|1|2018-11-07|2018-11-07|1
4|3|2|2018-11-07|2018-11-07|1
4|3|3|2018-11-07|2018-11-07|1
4|3|4|2018-11-07|2018-11-07|1
4|4|0|2018-11-07|2018-11-07|1
4|5|1|2018-11-07|2018-11-07|1
4|5|2|2018-11-07|2018-11-07|1
4|6|0|2018-11-07|2018-11-07|1
4|7|1|2018-11-07|2018-11-07|1
4|7|2|2018-11-07|2018-11-07|1
4|7|3|2018-11-07|2018-11-07|1
4|7|4|2018-11-07|2018-11-07|1
4|8|1|2018-11-07|2018-11-07|1
4|8|2|2018-11-07|2018-11-07|1
4|9|1|2018-11-07|2018-11-07|1
4|9|2|2018-11-07|2018-11-07|1
4|9|3|2018-11-07|2018-11-07|1
4|10|0|2018-11-07|2018-11-07|1
4|10|1|2018-11-07|2018-11-07|1
4|10|2|2018-11-07|2018-11-07|1
4|10|3|2018-11-07|2018-11-07|1
4|11|0|2018-11-07|2018-11-07|1
5|1|1|2018-11-07|2018-11-07|1
5|1|2|2018-11-07|2018-11-07|1
5|1|3|2018-11-07|2018-11-07|1
5|1|4|2018-11-07|2018-11-07|1
5|1|5|2018-11-07|2018-11-07|1
5|1|6|2018-11-07|2018-11-07|1
5|1|7|2018-11-07|2018-11-07|1
5|1|8|2018-11-07|2018-11-07|1
5|1|9|2018-11-07|2018-11-07|1
5|1|10|2018-11-07|2018-11-07|1
5|1|11|2018-11-07|2018-11-07|1
5|1|12|2018-11-07|2018-11-07|1
5|1|13|2018-11-07|2018-11-07|1
5|2|1|2018-11-07|2018-11-07|1
5|2|2|2018-11-07|2018-11-07|1
5|2|3|2018-11-07|2018-11-07|1
5|2|4|2018-11-07|2018-11-07|1
5|2|5|2018-11-07|2018-11-07|1
5|3|0|2018-11-07|2018-11-07|1
5|3|1|2018-11-07|2018-11-07|1
5|3|2|2018-11-07|2018-11-07|1
5|3|3|2018-11-07|2018-11-07|1
5|3|4|2018-11-07|2018-11-07|1
5|4|1|2018-11-07|2018-11-07|1
5|4|8|2018-11-07|2018-11-07|1
5|5|1|2018-11-07|2018-11-07|1
6|1|1|2018-11-07|2018-11-07|1
6|1|2|2018-11-07|2018-11-07|1
6|1|4|2018-11-07|2018-11-07|1
6|1|6|2018-11-07|2018-11-07|1
6|2|1|2018-11-07|2018-11-07|1
6|2|2|2018-11-07|2018-11-07|1
6|3|1|2018-11-07|2018-11-07|1
6|3|2|2018-11-07|2018-11-07|1
6|4|1|2018-11-07|2018-11-07|1
6|4|2|2018-11-07|2018-11-07|1
6|4|3|2018-11-07|2018-11-07|1
6|5|1|2018-11-07|2018-11-07|1
6|5|2|2018-11-07|2018-11-07|1
6|6|1|2018-11-07|2018-11-07|1
6|6|2|2018-11-07|2018-11-07|1
6|7|1|2018-11-07|2018-11-07|1
6|7|2|2018-11-07|2018-11-07|1
6|7|3|2018-11-07|2018-11-07|1
7|1|1|2018-11-07|2018-11-07|1
7|1|3|2018-11-07|2018-11-07|1
7|2|1|2018-11-07|2018-11-07|1
7|2|2|2018-11-07|2018-11-07|1
7|3|1|2018-11-07|2018-11-07|1
7|3|2|2018-11-07|2018-11-07|1
7|3|3|2018-11-07|2018-11-07|1
7|3|4|2018-11-07|2018-11-07|1
7|3|5|2018-11-07|2018-11-07|1
7|4|1|2018-11-07|2018-11-07|1
7|4|2|2018-11-07|2018-11-07|1
7|4|3|2018-11-07|2018-11-07|1
7|4|4|2018-11-07|2018-11-07|1
7|4|5|2018-11-07|2018-11-07|1
7|4|6|2018-11-07|2018-11-07|1
8|1|0|2018-11-07|2018-11-07|1
8|1|1|2018-11-07|2018-11-07|1
8|1|3|2018-11-07|2018-11-07|1
8|1|5|2018-11-07|2018-11-07|1
8|2|1|2018-11-07|2018-11-07|1
8|2|2|2018-11-07|2018-11-07|1
8|2|4|2018-11-07|2018-11-07|1
8|3|1|2018-11-07|2018-11-07|1
8|3|2|2018-11-07|2018-11-07|1
8|3|4|2018-11-07|2018-11-07|1
9|1|1|2018-11-07|2018-11-07|1
9|1|2|2018-11-07|2018-11-07|1
9|1|3|2018-11-07|2018-11-07|1
9|1|6|2018-11-07|2018-11-07|1
9|2|1|2018-11-07|2018-11-07|1
9|2|2|2018-11-07|2018-11-07|1
9|4|0|2018-11-07|2018-11-07|1
