POSTCODE,ID_LCG,DATE_FROM,DATE_TO,VERSION
BT42 2PB,3,2018-11-05,2018-11-05,1
BT79 0NR,5,2018-11-05,2018-11-05,1
BT35 7AW,4,2018-11-05,2018-11-05,1
BT4 1GW,1,2018-11-05,2018-11-05,1
BT42 1LE,3,2018-11-05,2018-11-05,1
BT43 6HQ,3,2018-11-05,2018-11-05,1
BT44 0AB,3,2018-11-05,2018-11-05,1
BT35 8SJ,4,2018-11-05,2018-11-05,1
BT92 6JT,5,2018-11-05,2018-11-05,1
BT93 0AR,5,2018-11-05,2018-11-05,1
BT92 7LT,5,2018-11-05,2018-11-05,1
BT94 4PB,5,2018-11-05,2018-11-05,1
BT94 3LU,5,2018-11-05,2018-11-05,1
BT78 4BW,5,2018-11-05,2018-11-05,1
BT79 7BA,5,2018-11-05,2018-11-05,1
BT5 5FB,1,2018-11-05,2018-11-05,1
BT8 8HR,1,2018-11-05,2018-11-05,1
BT5 4PX,1,2018-11-05,2018-11-05,1
BT4 3HZ,1,2018-11-05,2018-11-05,1
BT4 1NT,1,2018-11-05,2018-11-05,1
BT4 3LH,1,2018-11-05,2018-11-05,1
BT5 4ES,1,2018-11-05,2018-11-05,1
BT5 5DY,1,2018-11-05,2018-11-05,1
BT5 4NH,1,2018-11-05,2018-11-05,1
BT4 1NS,1,2018-11-05,2018-11-05,1
BT5 7LH,1,2018-11-05,2018-11-05,1
BT5 4FT,1,2018-11-05,2018-11-05,1
BT16 2LN,1,2018-11-05,2018-11-05,1
BT5 5FP,1,2018-11-05,2018-11-05,1
BT6 9DL,1,2018-11-05,2018-11-05,1
BT5 7BP,1,2018-11-05,2018-11-05,1
BT13 1RU,1,2018-11-05,2018-11-05,1
BT12 6DD,1,2018-11-05,2018-11-05,1
BT12 4HL,1,2018-11-05,2018-11-05,1
BT15 1HS,1,2018-11-05,2018-11-05,1
BT15 2GE,1,2018-11-05,2018-11-05,1
BT1 2JR,1,2018-11-05,2018-11-05,1
BT12 4LP,1,2018-11-05,2018-11-05,1
BT13 2BD,1,2018-11-05,2018-11-05,1
BT14 7DA,1,2018-11-05,2018-11-05,1
BT14 7QR,1,2018-11-05,2018-11-05,1
BT12 7DP,1,2018-11-05,2018-11-05,1
BT14 7GB,1,2018-11-05,2018-11-05,1
BT14 6AR,1,2018-11-05,2018-11-05,1
BT15 2GH,1,2018-11-05,2018-11-05,1
BT12 5LT,1,2018-11-05,2018-11-05,1
BT14 6QG,1,2018-11-05,2018-11-05,1
BT12 7AH,1,2018-11-05,2018-11-05,1
BT15 3HF,1,2018-11-05,2018-11-05,1
BT12 6AG,1,2018-11-05,2018-11-05,1
BT15 3BS,1,2018-11-05,2018-11-05,1
BT15 5GF,1,2018-11-05,2018-11-05,1
BT14 6JN,1,2018-11-05,2018-11-05,1
BT12 6AA,1,2018-11-05,2018-11-05,1
BT14 8BY,1,2018-11-05,2018-11-05,1
BT12 5EY,1,2018-11-05,2018-11-05,1
BT13 1AD,1,2018-11-05,2018-11-05,1
BT13 3BW,1,2018-11-05,2018-11-05,1
BT13 1FD,1,2018-11-05,2018-11-05,1
BT12 6AP,1,2018-11-05,2018-11-05,1
BT11 9FZ,1,2018-11-05,2018-11-05,1
BT12 7AP,1,2018-11-05,2018-11-05,1
BT8 6GR,1,2018-11-05,2018-11-05,1
BT9 7HR,1,2018-11-05,2018-11-05,1
BT6 8DR,1,2018-11-05,2018-11-05,1
BT12 5JJ,1,2018-11-05,2018-11-05,1
BT9 6GR,1,2018-11-05,2018-11-05,1
BT7 3GG,1,2018-11-05,2018-11-05,1
BT6 9EY,1,2018-11-05,2018-11-05,1
BT10 0BX,1,2018-11-05,2018-11-05,1
BT7 2EB,1,2018-11-05,2018-11-05,1
BT7 1HH,1,2018-11-05,2018-11-05,1
BT11 9EA,1,2018-11-05,2018-11-05,1
BT7 1NP,1,2018-11-05,2018-11-05,1
BT7 3GR,1,2018-11-05,2018-11-05,1
BT9 6AA,1,2018-11-05,2018-11-05,1
BT6 9HL,1,2018-11-05,2018-11-05,1
BT7 2GG,1,2018-11-05,2018-11-05,1
BT7 1JL,1,2018-11-05,2018-11-05,1
BT24 8AY,2,2018-11-05,2018-11-05,1
BT30 9RG,2,2018-11-05,2018-11-05,1
BT33 0NA,2,2018-11-05,2018-11-05,1
BT33 0DN,2,2018-11-05,2018-11-05,1
BT30 7SF,2,2018-11-05,2018-11-05,1
BT24 7AD,2,2018-11-05,2018-11-05,1
BT33 0AE,2,2018-11-05,2018-11-05,1
BT30 6BE,2,2018-11-05,2018-11-05,1
BT30 9JU,2,2018-11-05,2018-11-05,1
BT30 6RL,2,2018-11-05,2018-11-05,1
BT30 6DE,2,2018-11-05,2018-11-05,1
BT26 6AW,2,2018-11-05,2018-11-05,1
BT17 0FB,2,2018-11-05,2018-11-05,1
BT25 2AT,2,2018-11-05,2018-11-05,1
BT17 9AL,2,2018-11-05,2018-11-05,1
BT29 4LN,2,2018-11-05,2018-11-05,1
BT28 1LU,2,2018-11-05,2018-11-05,1
BT18 9AD,2,2018-11-05,2018-11-05,1
BT23 6AW,2,2018-11-05,2018-11-05,1
BT20 5PE,2,2018-11-05,2018-11-05,1
BT18 9DA,2,2018-11-05,2018-11-05,1
BT23 5AU,2,2018-11-05,2018-11-05,1
BT19 6EU,2,2018-11-05,2018-11-05,1
BT23 4AS,2,2018-11-05,2018-11-05,1
BT23 5DT,2,2018-11-05,2018-11-05,1
BT23 5BA,2,2018-11-05,2018-11-05,1
BT20 4XA,2,2018-11-05,2018-11-05,1
BT23 4LR,2,2018-11-05,2018-11-05,1
BT21 0BU,2,2018-11-05,2018-11-05,1
BT22 1QT,2,2018-11-05,2018-11-05,1
BT20 4LD,2,2018-11-05,2018-11-05,1
BT20 3EB,2,2018-11-05,2018-11-05,1
BT22 2PY,2,2018-11-05,2018-11-05,1
BT22 2SP,2,2018-11-05,2018-11-05,1
BT23 4FH,2,2018-11-05,2018-11-05,1
