ID_AMP_NM;ID_VMP_NM;ID_VTM_NM;ID_INTERVAL_COST;ID_BNF;ID_PRACTICE;ID_TIME;TOTAL_ITEMS;TOTAL_QUANTITY;GROSS_COST;ACTUAL_COST
;;;62507;405;1;13;2;0;65,25;65,25
17884;13;;10524;299;1;13;1;20;10,6;10,6
15787;130;;26758;299;1;13;2;20;27,0;27,0
5677;464;;46848;129;1;13;2;150;47,88;43,37
10515;464;;31398;129;1;13;1;100;31,74;28,22
19659;464;;58320;129;1;13;2;200;60,48;54,18
18185;465;;32118;129;1;13;1;100;32,48;28,96
11274;468;;14843;129;1;13;1;10;14,95;13,33
20685;1028;;157279;383;1;13;1;80;238,32;238,32
22536;1028;;187522;383;1;13;2;120;350,28;350,28
22791;1372;;2269;320;1;13;1;2;2,3;2,05
22791;1372;;2519;320;1;13;3;3;2,55;2,29
23517;1416;;28577;365;1;13;1;20;28,86;28,86
6038;1928;;25693;325;1;13;1;3;25,92;25,92
6045;1937;;25577;325;1;13;1;3;25,8;23,34
6076;1937;;48969;325;1;13;1;6;50,16;44,59
5098;2040;;1310;229;1;13;1;10;1,33;1,18
5659;2077;;35454;238;1;13;3;2500;35,95;32,03
5661;2078;;6603;238;1;13;1;500;6,66;6,02
6091;2112;;5619;233;1;13;1;500;5,67;5,22
6522;2121;;42880;176;1;13;2;4;43,68;38,66
6590;2125;;4644;254;1;13;1;250;4,69;4,23
22280;2141;;11030;245;1;13;1;100;11,11;10,03
;2144;;4853;177;1;13;1;7;4,9;4,38
8672;2168;;38467;238;1;13;7;2200;39,05;34,88
8675;2168;;3509;238;1;13;1;200;3,55;3,24
8673;2169;;58250;238;1;13;9;5000;60,4;54,59
8808;2177;;6264;238;1;13;1;500;6,32;5,61
9103;2184;;16741;238;1;13;3;1500;16,86;15,14
9541;2213;;41282;177;1;13;1;30;42,0;37,97
9585;2218;;6891;238;1;13;1;500;6,95;6,18
10087;2237;;3759;238;1;13;1;75;3,8;3,42
10385;2257;;73483;177;1;13;2;56;78,4;71,01
10395;2257;;38609;177;1;13;1;28;39,2;34,69
10437;2262;;39944;177;1;13;2;28;40,6;37,11
15923;2375;;9906;20;1;13;1;4;9,98;9,14
16011;2377;;2906;216;1;13;1;4;2,94;2,61
18694;2437;;154316;176;1;13;2;8;229,6;229,6
18696;2438;;41821;176;1;13;2;16;42,56;42,56
19419;2451;;149752;176;1;13;2;8;216,72;216,72
21150;2563;;29129;177;1;13;1;12;29,42;26,89
