ID_AMP_NM;AMP_NM;BNF_CODE;PRESENTATION;STRENGTH;VERSION;DATE_FROM;DATE_TO
1;;;;0.50%;1;2018-11-09;2018-11-09
2;;;;1000unit;1;2018-11-09;2018-11-09
3;;;;100mg;1;2018-11-09;2018-11-09
4;;;;100microgram;1;2018-11-09;2018-11-09
5;;;;10mg;1;2018-11-09;2018-11-09
6;;;;10mg/0.2ml;1;2018-11-09;2018-11-09
7;;;;10microgram/hour;1;2018-11-09;2018-11-09
8;;;;145mg /  40mg;1;2018-11-09;2018-11-09
9;;;;150mg;1;2018-11-09;2018-11-09
10;;;;15mg;1;2018-11-09;2018-11-09
11;;;;15mg/0.3ml;1;2018-11-09;2018-11-09
12;;;;17.5mg/0.35ml;1;2018-11-09;2018-11-09
13;;;;19.5mg;1;2018-11-09;2018-11-09
14;;;;1g;1;2018-11-09;2018-11-09
15;;;;1mg;1;2018-11-09;2018-11-09
16;;;;2 x 62g sachets;1;2018-11-09;2018-11-09
17;;;;2%;1;2018-11-09;2018-11-09
18;;;;2.5mg;1;2018-11-09;2018-11-09
19;;;;2000unit;1;2018-11-09;2018-11-09
20;;;;200mg;1;2018-11-09;2018-11-09
21;;;;20mg;1;2018-11-09;2018-11-09
22;;;;20mg/0.4ml;1;2018-11-09;2018-11-09
23;;;;20mg/1ml;1;2018-11-09;2018-11-09
24;;;;20mg/5ml;1;2018-11-09;2018-11-09
25;;;;20microgram/hour;1;2018-11-09;2018-11-09
26;;;;2200unit;1;2018-11-09;2018-11-09
27;;;;2MG/ML;1;2018-11-09;2018-11-09
28;;;;2g/10ml;1;2018-11-09;2018-11-09
29;;;;2million unit;1;2018-11-09;2018-11-09
30;;;;300microgram/ml;1;2018-11-09;2018-11-09
31;;;;30mg;1;2018-11-09;2018-11-09
32;;;;360mg;1;2018-11-09;2018-11-09
33;;;;4%;1;2018-11-09;2018-11-09
34;;;;40%;1;2018-11-09;2018-11-09
35;;;;5%;1;2018-11-09;2018-11-09
36;;;;50000unit;1;2018-11-09;2018-11-09
37;;;;500mg;1;2018-11-09;2018-11-09
38;;;;50mg;1;2018-11-09;2018-11-09
39;;;;50mg/10ml;1;2018-11-09;2018-11-09
40;;;;50mg/50ml;1;2018-11-09;2018-11-09
41;;;;50microgram/dose;1;2018-11-09;2018-11-09
42;;;;5600unit;1;2018-11-09;2018-11-09
43;;;;5mg/5ml;1;2018-11-09;2018-11-09
