ID_BNF;PARAGRAPH;SECTION;CHAPTER;VERSION;DATE_FROM;DATE_TO
1;1;1;1;1;2018-11-07;2018-11-07
2;2;1;1;1;2018-11-07;2018-11-07
3;0;2;1;1;2018-11-07;2018-11-07
4;0;3;1;1;2018-11-07;2018-11-07
5;1;3;1;1;2018-11-07;2018-11-07
6;3;3;1;1;2018-11-07;2018-11-07
7;4;3;1;1;2018-11-07;2018-11-07
8;5;3;1;1;2018-11-07;2018-11-07
9;1;4;1;1;2018-11-07;2018-11-07
10;2;4;1;1;2018-11-07;2018-11-07
11;3;4;1;1;2018-11-07;2018-11-07
12;0;5;1;1;2018-11-07;2018-11-07
13;1;5;1;1;2018-11-07;2018-11-07
14;2;5;1;1;2018-11-07;2018-11-07
15;4;5;1;1;2018-11-07;2018-11-07
16;1;6;1;1;2018-11-07;2018-11-07
17;2;6;1;1;2018-11-07;2018-11-07
18;3;6;1;1;2018-11-07;2018-11-07
19;4;6;1;1;2018-11-07;2018-11-07
20;5;6;1;1;2018-11-07;2018-11-07
21;6;6;1;1;2018-11-07;2018-11-07
22;7;6;1;1;2018-11-07;2018-11-07
23;1;7;1;1;2018-11-07;2018-11-07
24;2;7;1;1;2018-11-07;2018-11-07
25;4;7;1;1;2018-11-07;2018-11-07
26;1;8;1;1;2018-11-07;2018-11-07
27;1;9;1;1;2018-11-07;2018-11-07
28;4;9;1;1;2018-11-07;2018-11-07
29;1;1;2;1;2018-11-07;2018-11-07
30;2;1;2;1;2018-11-07;2018-11-07
31;1;2;2;1;2018-11-07;2018-11-07
32;2;2;2;1;2018-11-07;2018-11-07
33;3;2;2;1;2018-11-07;2018-11-07
34;4;2;2;1;2018-11-07;2018-11-07
35;8;2;2;1;2018-11-07;2018-11-07
36;2;3;2;1;2018-11-07;2018-11-07
37;0;4;2;1;2018-11-07;2018-11-07
38;1;5;2;1;2018-11-07;2018-11-07
39;2;5;2;1;2018-11-07;2018-11-07
40;4;5;2;1;2018-11-07;2018-11-07
41;5;5;2;1;2018-11-07;2018-11-07
42;1;6;2;1;2018-11-07;2018-11-07
43;2;6;2;1;2018-11-07;2018-11-07
44;3;6;2;1;2018-11-07;2018-11-07
45;4;6;2;1;2018-11-07;2018-11-07
46;2;7;2;1;2018-11-07;2018-11-07
47;3;7;2;1;2018-11-07;2018-11-07
48;1;8;2;1;2018-11-07;2018-11-07
49;2;8;2;1;2018-11-07;2018-11-07
50;0;9;2;1;2018-11-07;2018-11-07
51;0;11;2;1;2018-11-07;2018-11-07
52;0;12;2;1;2018-11-07;2018-11-07
53;1;1;3;1;2018-11-07;2018-11-07
54;2;1;3;1;2018-11-07;2018-11-07
55;3;1;3;1;2018-11-07;2018-11-07
56;4;1;3;1;2018-11-07;2018-11-07
57;5;1;3;1;2018-11-07;2018-11-07
58;0;2;3;1;2018-11-07;2018-11-07
59;1;3;3;1;2018-11-07;2018-11-07
60;2;3;3;1;2018-11-07;2018-11-07
61;3;3;3;1;2018-11-07;2018-11-07
62;1;4;3;1;2018-11-07;2018-11-07
63;2;4;3;1;2018-11-07;2018-11-07
64;3;4;3;1;2018-11-07;2018-11-07
65;0;6;3;1;2018-11-07;2018-11-07
66;0;7;3;1;2018-11-07;2018-11-07
67;0;8;3;1;2018-11-07;2018-11-07
68;1;9;3;1;2018-11-07;2018-11-07
69;2;9;3;1;2018-11-07;2018-11-07
70;0;10;3;1;2018-11-07;2018-11-07
71;1;11;3;1;2018-11-07;2018-11-07
72;1;1;4;1;2018-11-07;2018-11-07
73;2;1;4;1;2018-11-07;2018-11-07
74;3;1;4;1;2018-11-07;2018-11-07
75;1;2;4;1;2018-11-07;2018-11-07
76;2;2;4;1;2018-11-07;2018-11-07
77;3;2;4;1;2018-11-07;2018-11-07
78;1;3;4;1;2018-11-07;2018-11-07
79;2;3;4;1;2018-11-07;2018-11-07
80;3;3;4;1;2018-11-07;2018-11-07
81;4;3;4;1;2018-11-07;2018-11-07
82;0;4;4;1;2018-11-07;2018-11-07
83;1;5;4;1;2018-11-07;2018-11-07
84;2;5;4;1;2018-11-07;2018-11-07
85;0;6;4;1;2018-11-07;2018-11-07
86;1;7;4;1;2018-11-07;2018-11-07
87;2;7;4;1;2018-11-07;2018-11-07
88;3;7;4;1;2018-11-07;2018-11-07
89;4;7;4;1;2018-11-07;2018-11-07
90;1;8;4;1;2018-11-07;2018-11-07
91;2;8;4;1;2018-11-07;2018-11-07
92;1;9;4;1;2018-11-07;2018-11-07
93;2;9;4;1;2018-11-07;2018-11-07
94;3;9;4;1;2018-11-07;2018-11-07
95;0;10;4;1;2018-11-07;2018-11-07
96;1;10;4;1;2018-11-07;2018-11-07
97;2;10;4;1;2018-11-07;2018-11-07
98;3;10;4;1;2018-11-07;2018-11-07
99;0;11;4;1;2018-11-07;2018-11-07
100;1;1;5;1;2018-11-07;2018-11-07
101;2;1;5;1;2018-11-07;2018-11-07
102;3;1;5;1;2018-11-07;2018-11-07
103;4;1;5;1;2018-11-07;2018-11-07
104;5;1;5;1;2018-11-07;2018-11-07
105;6;1;5;1;2018-11-07;2018-11-07
106;7;1;5;1;2018-11-07;2018-11-07
107;8;1;5;1;2018-11-07;2018-11-07
108;9;1;5;1;2018-11-07;2018-11-07
109;10;1;5;1;2018-11-07;2018-11-07
110;11;1;5;1;2018-11-07;2018-11-07
111;12;1;5;1;2018-11-07;2018-11-07
112;13;1;5;1;2018-11-07;2018-11-07
113;1;2;5;1;2018-11-07;2018-11-07
114;2;2;5;1;2018-11-07;2018-11-07
115;3;2;5;1;2018-11-07;2018-11-07
116;4;2;5;1;2018-11-07;2018-11-07
117;5;2;5;1;2018-11-07;2018-11-07
118;0;3;5;1;2018-11-07;2018-11-07
119;1;3;5;1;2018-11-07;2018-11-07
120;2;3;5;1;2018-11-07;2018-11-07
121;3;3;5;1;2018-11-07;2018-11-07
122;4;3;5;1;2018-11-07;2018-11-07
123;1;4;5;1;2018-11-07;2018-11-07
124;8;4;5;1;2018-11-07;2018-11-07
125;1;5;5;1;2018-11-07;2018-11-07
126;1;1;6;1;2018-11-07;2018-11-07
127;2;1;6;1;2018-11-07;2018-11-07
128;4;1;6;1;2018-11-07;2018-11-07
129;6;1;6;1;2018-11-07;2018-11-07
130;1;2;6;1;2018-11-07;2018-11-07
131;2;2;6;1;2018-11-07;2018-11-07
132;1;3;6;1;2018-11-07;2018-11-07
133;2;3;6;1;2018-11-07;2018-11-07
134;1;4;6;1;2018-11-07;2018-11-07
135;2;4;6;1;2018-11-07;2018-11-07
136;3;4;6;1;2018-11-07;2018-11-07
137;1;5;6;1;2018-11-07;2018-11-07
138;2;5;6;1;2018-11-07;2018-11-07
139;1;6;6;1;2018-11-07;2018-11-07
140;2;6;6;1;2018-11-07;2018-11-07
141;1;7;6;1;2018-11-07;2018-11-07
142;2;7;6;1;2018-11-07;2018-11-07
143;3;7;6;1;2018-11-07;2018-11-07
144;1;1;7;1;2018-11-07;2018-11-07
145;3;1;7;1;2018-11-07;2018-11-07
146;1;2;7;1;2018-11-07;2018-11-07
147;2;2;7;1;2018-11-07;2018-11-07
148;1;3;7;1;2018-11-07;2018-11-07
149;2;3;7;1;2018-11-07;2018-11-07
150;3;3;7;1;2018-11-07;2018-11-07
151;4;3;7;1;2018-11-07;2018-11-07
152;5;3;7;1;2018-11-07;2018-11-07
153;1;4;7;1;2018-11-07;2018-11-07
154;2;4;7;1;2018-11-07;2018-11-07
155;3;4;7;1;2018-11-07;2018-11-07
156;4;4;7;1;2018-11-07;2018-11-07
157;5;4;7;1;2018-11-07;2018-11-07
158;6;4;7;1;2018-11-07;2018-11-07
159;0;1;8;1;2018-11-07;2018-11-07
160;1;1;8;1;2018-11-07;2018-11-07
161;3;1;8;1;2018-11-07;2018-11-07
162;5;1;8;1;2018-11-07;2018-11-07
163;1;2;8;1;2018-11-07;2018-11-07
164;2;2;8;1;2018-11-07;2018-11-07
165;4;2;8;1;2018-11-07;2018-11-07
166;1;3;8;1;2018-11-07;2018-11-07
167;2;3;8;1;2018-11-07;2018-11-07
168;4;3;8;1;2018-11-07;2018-11-07
169;1;1;9;1;2018-11-07;2018-11-07
170;2;1;9;1;2018-11-07;2018-11-07
171;3;1;9;1;2018-11-07;2018-11-07
172;6;1;9;1;2018-11-07;2018-11-07
173;1;2;9;1;2018-11-07;2018-11-07
174;2;2;9;1;2018-11-07;2018-11-07
175;0;4;9;1;2018-11-07;2018-11-07
