ID_VMP_NM;VMP_NM;VERSION;DATE_FROM;DATE_TO
1;Abacavir 300mg tablets;1;2018-11-07;2018-11-07
2;Absorbable synthetic suture 1.5gauge 45cm length with 16mm curved reverse cutting needle;1;2018-11-07;2018-11-07
3;Absorbable synthetic suture 1.5gauge 45cm length with 16mm curved round bodied needle;1;2018-11-07;2018-11-07
4;Absorbable synthetic suture 1.5gauge 45cm length with 19mm curved reverse cutting needle;1;2018-11-07;2018-11-07
5;Absorbable synthetic suture 1.5gauge 75cm length with 16mm curved cutting needle;1;2018-11-07;2018-11-07
6;Absorbable synthetic suture 1.5gauge 75cm length with 19mm curved reverse cutting needle;1;2018-11-07;2018-11-07
7;Absorbable synthetic suture 1gauge 45cm length with 12mm curved reverse cutting needle;1;2018-11-07;2018-11-07
8;Absorbable synthetic suture 2gauge 45cm length with 19mm curved reverse cutting needle;1;2018-11-07;2018-11-07
9;Absorbable synthetic suture 2gauge 45cm length with 24mm curved reverse cutting needle;1;2018-11-07;2018-11-07
10;Absorbable synthetic suture 2gauge 70cm length with 19mm 3/8 curved reverse cutting needle;1;2018-11-07;2018-11-07
11;Absorbable synthetic suture 2gauge 75cm length with 19mm curved reverse cutting needle;1;2018-11-07;2018-11-07
12;Absorbable synthetic suture 2gauge 75cm length with 26mm curved reverse cutting needle;1;2018-11-07;2018-11-07
13;Absorbent cellulose dressing with fluid repellent backing 10cm x 10cm;1;2018-11-07;2018-11-07
14;Absorbent cellulose dressing with fluid repellent backing 10cm x 15cm;1;2018-11-07;2018-11-07
15;Absorbent cellulose dressing with fluid repellent backing 10cm x 20cm;1;2018-11-07;2018-11-07
16;Absorbent cellulose dressing with fluid repellent backing 15cm x 20cm;1;2018-11-07;2018-11-07
17;Absorbent cellulose dressing with fluid repellent backing 20cm x 25cm;1;2018-11-07;2018-11-07
18;Absorbent cellulose dressing with fluid repellent backing 20cm x 30cm;1;2018-11-07;2018-11-07
19;Absorbent cotton BP 1988;1;2018-11-07;2018-11-07
20;Absorbent cotton and viscose ribbon gauze BP 1988 sterile 1.25cm;1;2018-11-07;2018-11-07
