VMP_NM|DATE_FROM|DATE_TO|VERSION
Abacavir 300mg tablets|2018-11-07|2018-11-07|1
Absorbable synthetic suture 1.5gauge 45cm length with 16mm curved reverse cutting needle|2018-11-07|2018-11-07|1
Absorbable synthetic suture 1.5gauge 45cm length with 16mm curved round bodied needle|2018-11-07|2018-11-07|1
Absorbable synthetic suture 1.5gauge 45cm length with 19mm curved reverse cutting needle|2018-11-07|2018-11-07|1
Absorbable synthetic suture 1.5gauge 75cm length with 16mm curved cutting needle|2018-11-07|2018-11-07|1
Absorbable synthetic suture 1.5gauge 75cm length with 19mm curved reverse cutting needle|2018-11-07|2018-11-07|1
Absorbable synthetic suture 1gauge 45cm length with 12mm curved reverse cutting needle|2018-11-07|2018-11-07|1
Absorbable synthetic suture 2gauge 45cm length with 19mm curved reverse cutting needle|2018-11-07|2018-11-07|1
Absorbable synthetic suture 2gauge 45cm length with 24mm curved reverse cutting needle|2018-11-07|2018-11-07|1
Absorbable synthetic suture 2gauge 70cm length with 19mm 3/8 curved reverse cutting needle|2018-11-07|2018-11-07|1
Absorbable synthetic suture 2gauge 75cm length with 19mm curved reverse cutting needle|2018-11-07|2018-11-07|1
Absorbable synthetic suture 2gauge 75cm length with 26mm curved reverse cutting needle|2018-11-07|2018-11-07|1
Absorbent cellulose dressing with fluid repellent backing 10cm x 10cm|2018-11-07|2018-11-07|1
Absorbent cellulose dressing with fluid repellent backing 10cm x 15cm|2018-11-07|2018-11-07|1
Absorbent cellulose dressing with fluid repellent backing 10cm x 20cm|2018-11-07|2018-11-07|1
Absorbent cellulose dressing with fluid repellent backing 15cm x 20cm|2018-11-07|2018-11-07|1
Absorbent cellulose dressing with fluid repellent backing 20cm x 25cm|2018-11-07|2018-11-07|1
Absorbent cellulose dressing with fluid repellent backing 20cm x 30cm|2018-11-07|2018-11-07|1
Absorbent cotton BP 1988|2018-11-07|2018-11-07|1
Absorbent cotton and viscose ribbon gauze BP 1988 sterile 1.25cm|2018-11-07|2018-11-07|1
Absorbent cotton and viscose ribbon gauze BP 1988 sterile 2.5cm|2018-11-07|2018-11-07|1
Absorbent cotton gauze type 13 light BP 1988 not sterilised|2018-11-07|2018-11-07|1
Absorbent cotton gauze type 13 light BP 1988 sterile 90cm|2018-11-07|2018-11-07|1
Absorbent cotton hospital quality|2018-11-07|2018-11-07|1
Absorbent dressing pad sterile 10cm x 12cm|2018-11-07|2018-11-07|1
Absorbent dressing pad sterile 10cm x 20cm|2018-11-07|2018-11-07|1
Absorbent dressing pad sterile 20cm x 20cm|2018-11-07|2018-11-07|1
Absorbent dressing pad sterile 20cm x 40cm|2018-11-07|2018-11-07|1
Absorbent lint BPC|2018-11-07|2018-11-07|1
Absorbent perforated dressing with adhesive border 10cm x 10cm|2018-11-07|2018-11-07|1
Absorbent perforated dressing with adhesive border 10cm x 15cm|2018-11-07|2018-11-07|1
Absorbent perforated dressing with adhesive border 10cm x 20cm|2018-11-07|2018-11-07|1
Absorbent perforated dressing with adhesive border 10cm x 25cm|2018-11-07|2018-11-07|1
Absorbent perforated dressing with adhesive border 10cm x 30cm|2018-11-07|2018-11-07|1
Absorbent perforated dressing with adhesive border 10cm x 35cm|2018-11-07|2018-11-07|1
Absorbent perforated dressing with adhesive border 5cm x 7cm|2018-11-07|2018-11-07|1
Absorbent perforated plastic film faced dressing 10cm x 10cm|2018-11-07|2018-11-07|1
Absorbent perforated plastic film faced dressing 20cm x 10cm|2018-11-07|2018-11-07|1
Absorbent perforated plastic film faced dressing 5cm x 5cm|2018-11-07|2018-11-07|1
Acacia spray dried powder|2018-11-07|2018-11-07|1
Acamprosate 333mg gastro-resistant tablets|2018-11-07|2018-11-07|1
Acarbose 100mg tablets|2018-11-07|2018-11-07|1
Acarbose 50mg tablets|2018-11-07|2018-11-07|1
Acebutolol 100mg capsules|2018-11-07|2018-11-07|1
Acebutolol 200mg capsules|2018-11-07|2018-11-07|1
Acebutolol 400mg tablets|2018-11-07|2018-11-07|1
Aceclofenac 100mg tablets|2018-11-07|2018-11-07|1
Acemetacin 60mg capsules|2018-11-07|2018-11-07|1
Acenocoumarol 1mg tablets|2018-11-07|2018-11-07|1
Acetazolamide 250mg modified-release capsules|2018-11-07|2018-11-07|1
Acetazolamide 250mg tablets|2018-11-07|2018-11-07|1
Acetic acid 2% ear spray|2018-11-07|2018-11-07|1
Acetic acid 33% liquid|2018-11-07|2018-11-07|1
Acetone liquid|2018-11-07|2018-11-07|1
Acetylcysteine 200mg granules sachets|2018-11-07|2018-11-07|1
Acetylcysteine 200mg oral powder sachets sugar free|2018-11-07|2018-11-07|1
Acetylcysteine 2g/10ml solution for infusion ampoules|2018-11-07|2018-11-07|1
Acetylcysteine 5% eye drops|2018-11-07|2018-11-07|1
Acetylcysteine 600mg capsules|2018-11-07|2018-11-07|1
Acetylcysteine 600mg effervescent tablets sugar free|2018-11-07|2018-11-07|1
Acetylcysteine 600mg tablets|2018-11-07|2018-11-07|1
Aciclovir 200mg dispersible tablets|2018-11-07|2018-11-07|1
Aciclovir 200mg tablets|2018-11-07|2018-11-07|1
Aciclovir 200mg/5ml oral suspension sugar free|2018-11-07|2018-11-07|1
Aciclovir 250mg powder for solution for infusion vials|2018-11-07|2018-11-07|1
Aciclovir 3% eye ointment|2018-11-07|2018-11-07|1
Aciclovir 400mg dispersible tablets|2018-11-07|2018-11-07|1
Aciclovir 400mg tablets|2018-11-07|2018-11-07|1
Aciclovir 400mg/5ml oral suspension sugar free|2018-11-07|2018-11-07|1
Aciclovir 5% cream|2018-11-07|2018-11-07|1
Aciclovir 500mg powder for solution for infusion vials|2018-11-07|2018-11-07|1
Aciclovir 800mg dispersible tablets|2018-11-07|2018-11-07|1
Aciclovir 800mg tablets|2018-11-07|2018-11-07|1
Acipimox 250mg capsules|2018-11-07|2018-11-07|1
Acitretin 10mg capsules|2018-11-07|2018-11-07|1
Acitretin 25mg capsules|2018-11-07|2018-11-07|1
Aclidinium bromide 375micrograms/dose dry powder inhaler|2018-11-07|2018-11-07|1
Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler|2018-11-07|2018-11-07|1
Acrivastine 8mg capsules|2018-11-07|2018-11-07|1
Activated charcoal 200mg/ml oral suspension sugar free|2018-11-07|2018-11-07|1
Activated charcoal 300mg capsules|2018-11-07|2018-11-07|1
Activated charcoal 300mg tablets|2018-11-07|2018-11-07|1
Activated charcoal absorbent dressing 10cm x 10cm|2018-11-07|2018-11-07|1
Activated charcoal absorbent dressing 10cm x 20cm|2018-11-07|2018-11-07|1
Activated charcoal absorbent dressing 15cm x 20cm|2018-11-07|2018-11-07|1
Activated charcoal absorbent dressing 8cm x 15cm oval|2018-11-07|2018-11-07|1
Adapalene 0.1% / Benzoyl peroxide 2.5% gel|2018-11-07|2018-11-07|1
Adapalene 0.1% cream|2018-11-07|2018-11-07|1
Adapalene 0.1% gel|2018-11-07|2018-11-07|1
Adenosine 6mg/2ml solution for injection vials|2018-11-07|2018-11-07|1
Adhesive dressing remover sterile foam applicator|2018-11-07|2018-11-07|1
Adhesive dressing remover sterile sachets|2018-11-07|2018-11-07|1
Adhesive dressing remover sterile spray|2018-11-07|2018-11-07|1
Adhesive dressing remover sterile wipes|2018-11-07|2018-11-07|1
Adhesive felt 10.5cm x 8.3cm x 5mm|2018-11-07|2018-11-07|1
Adhesive felt 10cm x 22.5cm x 5mm|2018-11-07|2018-11-07|1
Adrenaline (base) 150micrograms/0.15ml (1 in 1,000) solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Adrenaline (base) 150micrograms/0.3ml (1 in 2,000) solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Adrenaline (base) 1mg/1ml (1 in 1,000) solution for injection ampoules|2018-11-07|2018-11-07|1
Adrenaline (base) 1mg/1ml (1 in 1,000) solution for injection pre-filled syringes|2018-11-07|2018-11-07|1
Adrenaline (base) 300micrograms/0.3ml (1 in 1,000) solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Adrenaline (base) 500micrograms/0.5ml (1 in 1,000) solution for injection ampoules|2018-11-07|2018-11-07|1
Adrenaline (base) 500micrograms/0.5ml (1 in 1,000) solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Agomelatine 25mg tablets|2018-11-07|2018-11-07|1
