VTM_NM|year
Abacavir|2016
Acacia|2016
Acamprosate|2016
Acarbose|2016
Acebutolol|2016
Aceclofenac|2016
Acemetacin|2016
Acenocoumarol|2016
Acetazolamide|2016
Acetic acid|2016
Acetic acid + Honey + Squill|2016
Acetone|2016
Acetylcysteine|2016
Aciclovir|2016
Acipimox|2016
Acitretin|2016
Aclidinium bromide|2016
Aclidinium bromide + Formoterol|2016
Acrivastine|2016
Activated charcoal|2016
Adapalene|2016
Adapalene + Benzoyl peroxide|2016
Adenosine|2016
Adrenaline|2016
Agomelatine|2016
Albiglutide|2016
Alclometasone|2016
Aldioxa + Chloroxylenol|2016
Alendronic acid|2016
Alendronic acid + Colecalciferol|2016
Alfacalcidol|2016
Alfentanil|2016
Alfuzosin|2016
Alimemazine|2016
Aliskiren|2016
Allantoin + Lidocaine|2016
Allopurinol|2016
Almond oil|2016
Almotriptan|2016
Aloes + Sumatra benzoin|2016
Alogliptin|2016
Alogliptin + Metformin|2016
Alpha tocopherol|2016
Alprostadil|2016
Alum|2016
Aluminium chloride|2016
Aluminium hydroxide|2016
Aluminium hydroxide + Magnesium trisilicate|2016
Aluminium oxide|2016
Alverine|2016
Amantadine|2016
Amiloride|2016
Amiloride + Bumetanide|2016
Amiloride + Cyclopenthiazide|2016
Aminophylline|2016
Amiodarone|2016
Amisulpride|2016
Amitriptyline|2016
Amitriptyline + Perphenazine|2016
Amlodipine|2016
Amlodipine + Valsartan|2016
Ammonia + Ammonium bicarbonate|2016
Ammonium bicarbonate + Ipecacuanha|2016
Amobarbital|2016
Amorolfine|2016
Amoxicillin|2016
Ampicillin|2016
Anastrozole|2016
Anise oil|2016
Antazoline + Xylometazoline|2016
Apixaban|2016
Apomorphine|2016
Apraclonidine|2016
Aprepitant|2016
Arachis oil|2016
Arginine|2016
Aripiprazole|2016
Artemether + Lumefantrine|2016
Ascorbic acid|2016
Ascorbic acid + Zinc|2016
Asenapine|2016
Aspirin|2016
Aspirin + Metoclopramide|2016
Atenolol|2016
Atenolol + Nifedipine|2016
Atomoxetine|2016
Atorvastatin|2016
Atropine|2016
Avanafil|2016
Azathioprine|2016
Azelaic acid|2016
Azelastine|2016
Azilsartan|2016
Azithromycin|2016
Aztreonam|2016
Baclofen|2016
Balsalazide|2016
Bambuterol|2016
Beclometasone|2016
Beclometasone + Formoterol|2016
Bendroflumethiazide|2016
Bendroflumethiazide + Potassium|2016
Benperidol|2016
Benzalkonium|2016
Benzocaine|2016
Benzocaine + Cetylpyridinium|2016
Benzocaine + Dequalinium|2016
Benzocaine + Tyrothricin|2016
Benzoyl peroxide|2016
Benzoyl peroxide + Clindamycin|2016
Benzoyl peroxide + Potassium hydroxyquinoline sulfate|2016
Benzydamine|2016
Benzyl benzoate|2016
Benzylpenicillin|2016
Betahistine|2016
Betaine|2016
Betamethasone|2016
Betamethasone + Clioquinol|2016
Betamethasone + Clotrimazole|2016
Betamethasone + Fusidic acid|2016
Betamethasone + Neomycin|2016
Betaxolol|2016
Bezafibrate|2016
Bicalutamide|2016
Bilastine|2016
Bimatoprost|2016
Bimatoprost + Timolol|2016
Bisacodyl|2016
Bismuth subsalicylate|2016
Bisoprolol|2016
Bisoprolol + Aspirin|2016
