Geo_Name,Geo_Code,Mid_Year_Ending,Gender,Age,Population_Estimate
Belfast,BHSCT,1991,All persons,0,5484
Belfast,BHSCT,1991,All persons,1,5268
Belfast,BHSCT,1991,All persons,2,5385
Belfast,BHSCT,1991,All persons,3,5356
Belfast,BHSCT,1991,All persons,4,5389
Belfast,BHSCT,1991,All persons,5,5307
Belfast,BHSCT,1991,All persons,6,5113
Belfast,BHSCT,1991,All persons,7,4943
Belfast,BHSCT,1991,All persons,8,4794
Belfast,BHSCT,1991,All persons,9,4733
Belfast,BHSCT,1991,All persons,10,4842
Belfast,BHSCT,1991,All persons,11,4899
Belfast,BHSCT,1991,All persons,12,4642
Belfast,BHSCT,1991,All persons,13,4533
Belfast,BHSCT,1991,All persons,14,4453
Belfast,BHSCT,1991,All persons,15,4442
Belfast,BHSCT,1991,All persons,16,4560
Belfast,BHSCT,1991,All persons,17,4678
Belfast,BHSCT,1991,All persons,18,5350
Belfast,BHSCT,1991,All persons,19,6148
Belfast,BHSCT,1991,All persons,20,6576
Belfast,BHSCT,1991,All persons,21,6501
Belfast,BHSCT,1991,All persons,22,6458
Belfast,BHSCT,1991,All persons,23,6241
Belfast,BHSCT,1991,All persons,24,6088
Belfast,BHSCT,1991,All persons,25,5915
Belfast,BHSCT,1991,All persons,26,5998
Belfast,BHSCT,1991,All persons,27,5885
Belfast,BHSCT,1991,All persons,28,5729
Belfast,BHSCT,1991,All persons,29,5726
Belfast,BHSCT,1991,All persons,30,5474
Belfast,BHSCT,1991,All persons,31,5310
Belfast,BHSCT,1991,All persons,32,5087
Belfast,BHSCT,1991,All persons,33,4965
Belfast,BHSCT,1991,All persons,34,4774
Belfast,BHSCT,1991,All persons,35,4476
Belfast,BHSCT,1991,All persons,36,4114
Belfast,BHSCT,1991,All persons,37,4062
Belfast,BHSCT,1991,All persons,38,3947
Belfast,BHSCT,1991,All persons,39,3706
Belfast,BHSCT,1991,All persons,40,3773
Belfast,BHSCT,1991,All persons,41,3719
Belfast,BHSCT,1991,All persons,42,3637
Belfast,BHSCT,1991,All persons,43,3757
Belfast,BHSCT,1991,All persons,44,3962
Belfast,BHSCT,1991,All persons,45,3646
Belfast,BHSCT,1991,All persons,46,3698
Belfast,BHSCT,1991,All persons,47,3785
Belfast,BHSCT,1991,All persons,48,3960
Belfast,BHSCT,1991,All persons,49,3662
Belfast,BHSCT,1991,All persons,50,3304
Belfast,BHSCT,1991,All persons,51,3369
Belfast,BHSCT,1991,All persons,52,3504
Belfast,BHSCT,1991,All persons,53,3552
Belfast,BHSCT,1991,All persons,54,3615
Belfast,BHSCT,1991,All persons,55,3553
Belfast,BHSCT,1991,All persons,56,3361
Belfast,BHSCT,1991,All persons,57,3431
Belfast,BHSCT,1991,All persons,58,3511
Belfast,BHSCT,1991,All persons,59,3642
Belfast,BHSCT,1991,All persons,60,3784
Belfast,BHSCT,1991,All persons,61,3830
Belfast,BHSCT,1991,All persons,62,3597
Belfast,BHSCT,1991,All persons,63,3551
Belfast,BHSCT,1991,All persons,64,3671
Belfast,BHSCT,1991,All persons,65,3689
Belfast,BHSCT,1991,All persons,66,3551
Belfast,BHSCT,1991,All persons,67,3516
Belfast,BHSCT,1991,All persons,68,3406
Belfast,BHSCT,1991,All persons,69,3491
Belfast,BHSCT,1991,All persons,70,3461
Belfast,BHSCT,1991,All persons,71,3419
Belfast,BHSCT,1991,All persons,72,2718
Belfast,BHSCT,1991,All persons,73,2289
Belfast,BHSCT,1991,All persons,74,2276
Belfast,BHSCT,1991,All persons,75,2342
Belfast,BHSCT,1991,All persons,76,2445
Belfast,BHSCT,1991,All persons,77,2328
Belfast,BHSCT,1991,All persons,78,2204
Belfast,BHSCT,1991,All persons,79,2024
Belfast,BHSCT,1991,All persons,80,1844
Belfast,BHSCT,1991,All persons,81,1664
Belfast,BHSCT,1991,All persons,82,1526
Belfast,BHSCT,1991,All persons,83,1382
Belfast,BHSCT,1991,All persons,84,1171
Belfast,BHSCT,1991,All persons,85,1040
Belfast,BHSCT,1991,All persons,86,902
Belfast,BHSCT,1991,All persons,87,742
Belfast,BHSCT,1991,All persons,88,632
Belfast,BHSCT,1991,All persons,89,525
Belfast,BHSCT,1991,All persons,90,1622
Belfast,BHSCT,1991,Females,0,2741
Belfast,BHSCT,1991,Females,1,2614
Belfast,BHSCT,1991,Females,2,2678
Belfast,BHSCT,1991,Females,3,2647
Belfast,BHSCT,1991,Females,4,2622
Belfast,BHSCT,1991,Females,5,2578
Belfast,BHSCT,1991,Females,6,2479
Belfast,BHSCT,1991,Females,7,2458
Belfast,BHSCT,1991,Females,8,2329
Belfast,BHSCT,1991,Females,9,2310
Belfast,BHSCT,1991,Females,10,2307
Belfast,BHSCT,1991,Females,11,2333
Belfast,BHSCT,1991,Females,12,2321
Belfast,BHSCT,1991,Females,13,2258
Belfast,BHSCT,1991,Females,14,2157
Belfast,BHSCT,1991,Females,15,2198
Belfast,BHSCT,1991,Females,16,2282
Belfast,BHSCT,1991,Females,17,2294
Belfast,BHSCT,1991,Females,18,2634
Belfast,BHSCT,1991,Females,19,3092
Belfast,BHSCT,1991,Females,20,3403
Belfast,BHSCT,1991,Females,21,3340
Belfast,BHSCT,1991,Females,22,3365
Belfast,BHSCT,1991,Females,23,3180
Belfast,BHSCT,1991,Females,24,3149
Belfast,BHSCT,1991,Females,25,3086
Belfast,BHSCT,1991,Females,26,3115
Belfast,BHSCT,1991,Females,27,3083
Belfast,BHSCT,1991,Females,28,2980
Belfast,BHSCT,1991,Females,29,3089
Belfast,BHSCT,1991,Females,30,2860
Belfast,BHSCT,1991,Females,31,2727
Belfast,BHSCT,1991,Females,32,2695
Belfast,BHSCT,1991,Females,33,2556
Belfast,BHSCT,1991,Females,34,2516
Belfast,BHSCT,1991,Females,35,2298
Belfast,BHSCT,1991,Females,36,2119
Belfast,BHSCT,1991,Females,37,2032
Belfast,BHSCT,1991,Females,38,1984
Belfast,BHSCT,1991,Females,39,1834
Belfast,BHSCT,1991,Females,40,1909
Belfast,BHSCT,1991,Females,41,1896
Belfast,BHSCT,1991,Females,42,1855
Belfast,BHSCT,1991,Females,43,1948
Belfast,BHSCT,1991,Females,44,2079
Belfast,BHSCT,1991,Females,45,1873
Belfast,BHSCT,1991,Females,46,1942
Belfast,BHSCT,1991,Females,47,1975
Belfast,BHSCT,1991,Females,48,2030
Belfast,BHSCT,1991,Females,49,1899
Belfast,BHSCT,1991,Females,50,1719
Belfast,BHSCT,1991,Females,51,1756
Belfast,BHSCT,1991,Females,52,1848
Belfast,BHSCT,1991,Females,53,1857
Belfast,BHSCT,1991,Females,54,1917
Belfast,BHSCT,1991,Females,55,1920
Belfast,BHSCT,1991,Females,56,1811
Belfast,BHSCT,1991,Females,57,1787
Belfast,BHSCT,1991,Females,58,1908
Belfast,BHSCT,1991,Females,59,1965
Belfast,BHSCT,1991,Females,60,2077
Belfast,BHSCT,1991,Females,61,2115
Belfast,BHSCT,1991,Females,62,1966
Belfast,BHSCT,1991,Females,63,1962
Belfast,BHSCT,1991,Females,64,2032
Belfast,BHSCT,1991,Females,65,2051
Belfast,BHSCT,1991,Females,66,1938
Belfast,BHSCT,1991,Females,67,2002
Belfast,BHSCT,1991,Females,68,1954
Belfast,BHSCT,1991,Females,69,2027
Belfast,BHSCT,1991,Females,70,2015
Belfast,BHSCT,1991,Females,71,1975
Belfast,BHSCT,1991,Females,72,1600
Belfast,BHSCT,1991,Females,73,1424
Belfast,BHSCT,1991,Females,74,1379
Belfast,BHSCT,1991,Females,75,1429
Belfast,BHSCT,1991,Females,76,1499
Belfast,BHSCT,1991,Females,77,1480
Belfast,BHSCT,1991,Females,78,1444
Belfast,BHSCT,1991,Females,79,1316
Belfast,BHSCT,1991,Females,80,1265
Belfast,BHSCT,1991,Females,81,1166
Belfast,BHSCT,1991,Females,82,1074
Belfast,BHSCT,1991,Females,83,993
Belfast,BHSCT,1991,Females,84,819
Belfast,BHSCT,1991,Females,85,779
Belfast,BHSCT,1991,Females,86,690
Belfast,BHSCT,1991,Females,87,566
Belfast,BHSCT,1991,Females,88,487
Belfast,BHSCT,1991,Females,89,412
Belfast,BHSCT,1991,Females,90,1344
Belfast,BHSCT,1991,Males,0,2743
Belfast,BHSCT,1991,Males,1,2654
Belfast,BHSCT,1991,Males,2,2707
Belfast,BHSCT,1991,Males,3,2709
Belfast,BHSCT,1991,Males,4,2767
Belfast,BHSCT,1991,Males,5,2729
Belfast,BHSCT,1991,Males,6,2634
Belfast,BHSCT,1991,Males,7,2485
Belfast,BHSCT,1991,Males,8,2465
Belfast,BHSCT,1991,Males,9,2423
Belfast,BHSCT,1991,Males,10,2535
Belfast,BHSCT,1991,Males,11,2566
Belfast,BHSCT,1991,Males,12,2321
Belfast,BHSCT,1991,Males,13,2275
Belfast,BHSCT,1991,Males,14,2296
Belfast,BHSCT,1991,Males,15,2244
Belfast,BHSCT,1991,Males,16,2278
Belfast,BHSCT,1991,Males,17,2384
Belfast,BHSCT,1991,Males,18,2716
Belfast,BHSCT,1991,Males,19,3056
Belfast,BHSCT,1991,Males,20,3173
Belfast,BHSCT,1991,Males,21,3161
Belfast,BHSCT,1991,Males,22,3093
Belfast,BHSCT,1991,Males,23,3061
Belfast,BHSCT,1991,Males,24,2939
Belfast,BHSCT,1991,Males,25,2829
Belfast,BHSCT,1991,Males,26,2883
Belfast,BHSCT,1991,Males,27,2802
Belfast,BHSCT,1991,Males,28,2749
Belfast,BHSCT,1991,Males,29,2637
Belfast,BHSCT,1991,Males,30,2614
Belfast,BHSCT,1991,Males,31,2583
Belfast,BHSCT,1991,Males,32,2392
Belfast,BHSCT,1991,Males,33,2409
Belfast,BHSCT,1991,Males,34,2258
Belfast,BHSCT,1991,Males,35,2178
Belfast,BHSCT,1991,Males,36,1995
Belfast,BHSCT,1991,Males,37,2030
Belfast,BHSCT,1991,Males,38,1963
Belfast,BHSCT,1991,Males,39,1872
Belfast,BHSCT,1991,Males,40,1864
Belfast,BHSCT,1991,Males,41,1823
Belfast,BHSCT,1991,Males,42,1782
Belfast,BHSCT,1991,Males,43,1809
Belfast,BHSCT,1991,Males,44,1883
Belfast,BHSCT,1991,Males,45,1773
Belfast,BHSCT,1991,Males,46,1756
Belfast,BHSCT,1991,Males,47,1810
Belfast,BHSCT,1991,Males,48,1930
Belfast,BHSCT,1991,Males,49,1763
Belfast,BHSCT,1991,Males,50,1585
Belfast,BHSCT,1991,Males,51,1613
Belfast,BHSCT,1991,Males,52,1656
Belfast,BHSCT,1991,Males,53,1695
Belfast,BHSCT,1991,Males,54,1698
Belfast,BHSCT,1991,Males,55,1633
Belfast,BHSCT,1991,Males,56,1550
Belfast,BHSCT,1991,Males,57,1644
Belfast,BHSCT,1991,Males,58,1603
Belfast,BHSCT,1991,Males,59,1677
Belfast,BHSCT,1991,Males,60,1707
Belfast,BHSCT,1991,Males,61,1715
Belfast,BHSCT,1991,Males,62,1631
Belfast,BHSCT,1991,Males,63,1589
Belfast,BHSCT,1991,Males,64,1639
Belfast,BHSCT,1991,Males,65,1638
Belfast,BHSCT,1991,Males,66,1613
Belfast,BHSCT,1991,Males,67,1514
Belfast,BHSCT,1991,Males,68,1452
Belfast,BHSCT,1991,Males,69,1464
Belfast,BHSCT,1991,Males,70,1446
Belfast,BHSCT,1991,Males,71,1444
Belfast,BHSCT,1991,Males,72,1118
Belfast,BHSCT,1991,Males,73,865
Belfast,BHSCT,1991,Males,74,897
Belfast,BHSCT,1991,Males,75,913
Belfast,BHSCT,1991,Males,76,946
Belfast,BHSCT,1991,Males,77,848
Belfast,BHSCT,1991,Males,78,760
Belfast,BHSCT,1991,Males,79,708
Belfast,BHSCT,1991,Males,80,579
Belfast,BHSCT,1991,Males,81,498
Belfast,BHSCT,1991,Males,82,452
Belfast,BHSCT,1991,Males,83,389
Belfast,BHSCT,1991,Males,84,352
Belfast,BHSCT,1991,Males,85,261
Belfast,BHSCT,1991,Males,86,212
Belfast,BHSCT,1991,Males,87,176
Belfast,BHSCT,1991,Males,88,145
Belfast,BHSCT,1991,Males,89,113
Belfast,BHSCT,1991,Males,90,278
Northern,NHSCT,1991,All persons,0,6057
Northern,NHSCT,1991,All persons,1,6286
Northern,NHSCT,1991,All persons,2,6292
Northern,NHSCT,1991,All persons,3,6530
Northern,NHSCT,1991,All persons,4,6501
